grace_sku,body_id,neck_finish,shape
GBCylAmb9MtlRollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollPnkDot,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9MtlRollWht,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollBlkDot,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollPnkDot,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9RollWht,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryBlk,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryGl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryRd,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryShSl,Cyl-round-17-415-70x20,17-415,round
GBCylAmb9SpryTur,Cyl-round-17-415-70x20,17-415,round
LBCyl9LtnBlk,Cyl-round-17-415-70x20,17-415,round
LBCyl9LtnGl,Cyl-round-17-415-70x20,17-415,round
LBCyl9LtnMtSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollBlkDot,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollPnkDot,Cyl-round-17-415-70x20,17-415,round
