sku,url,neck,family,glass,capacityMl,sha256,hasPurchase,stockUnavailable,error
GBEmp100RdcrMtSlTall,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap,18-415,,Clear,100,ca2f38512a3fabafcee81c72651369f0742316d282fee692a0bc0aab9aa3a590,True,False,
GBElg60SpryMtSl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-matte-silver-spray-pump-and-cap,18-415,,Clear,60,2943e57e0e1ec80fdb60dc02651dfe8f3a6ccd3cb1191d1d04ca568b301607af,True,False,
GBElg60AnSpTslIvyGl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar,18-415,,Clear,60,1f75e07299b8879fd2c542d0af26adb4af5f9826a94e702fbb1f750a45e7a1f1,True,False,
GBCrcl15BlkSht,https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-black-cap,13-415,,Clear,15,5bb041ba79efc80a9a465fafb4d5d9582cc39554aa323b19ea9a4c6df1e7767a,True,False,
GBElg60SpryCu,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,60,8bc26d0e0cf5e011c7c8c417c499e9a59d76625a6cd90a692b43b3b50e1bd9f2,True,False,
GBElg15Gl,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-shiny-gold-cap,13-415,,Clear,15,2737e5c1ef84a60a63ab746d1a60235da46f60a1a2df1997fb49a53696d1a01b,True,False,
GBEmp100RdcrMtSl,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-silver-matte-cap,18-415,,Clear,100,a1f64b7d2d9ffdd51627f73e0daec3b2ec95ab4417429ec0871abbec1754415d,True,False,
GBElgFrst60SpryShnBlk,https://www.bestbottles.com/product/elegant-design-60-ml-frosted-glass-bottle-shiny-black-spray-pump-and-cap,18-415,,Frosted,60,8929034cea83e0964ff0ee62818b5b8bc0c378e82fc521456f9ba5515e3c8a51,True,False,
GBElg60AnSpTslIvySl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,60,3a108161e0797a0258c0b14ca74424915d559d6384e9e8e51eeff8aeabf1e853,True,False,
GBElg15BlkSht,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-short-black-cap,13-415,,Clear,15,c03b7aa6f2c104995ac3c8928a457dcab16a66500e386053acb21a952dddfc9c,True,False,
GBElgFrst60SpryCu,https://www.bestbottles.com/product/elegant-design-60-ml-frosted-glass-bottle-matte-copper-spray-and-cap,18-415,,Frosted,60,b3e267ba248a1ec74d7da490574224da05cae3b8285d513c581d35cd13a6f243,True,False,
GBElgFrst15WhtSht,https://www.bestbottles.com/product/elegant-design-15-ml-frosted-glass-bottle-short-white-cap,13-415,,Frosted,15,21293d380a3226edf703db16365fdadcbb3d509e9bf53e8f1cc7141621ebe11c,True,False,
GBEmp100RdcrWht,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-white-cap,18-415,,Clear,100,cfbac4a70b78c7c0fdfff13bc5d3772c01f1ce2369f7655f4bc2146c1a60030d,True,False,
GBElgFrst60SpryShnGl,https://www.bestbottles.com/product/elegant-design-60-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap,18-415,,Frosted,60,ab2055fa06ccca7b6b8f5305d4ae839b98f0b0cbb6c6d1845add683af3c7a1db,True,False,
GBElg60AnSpTslWht,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,60,7a2e8695e1630686871c863650190eee0d8b0032735dde192fa53119ddf70b3e,True,False,
