sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBElgFrst100RdcrIvyLthr","Elegant","100","Frosted","18-415","Reducer","Ivory Leather","false","assembly_unpublished_or_unsellable","CP18-415LIvyLthr","CP18-415LIvyLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-ivory-faux-leather-cap"
"GBElgFrst100RdcrPnkLthr","Elegant","100","Frosted","18-415","Reducer","Pink Leather","false","assembly_unpublished_or_unsellable","CP18-415LPnkLthr","CP18-415LPnkLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-pink-faux-leather-cap"
"GBElgFrst100RdcrShnGl","Elegant","100","Frosted","18-415","Reducer","Shiny Gold","false","assembly_unpublished_or_unsellable","CP18-415ShnGl","CP18-415ShnGl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-shiny-gold-cap"
"GBElgFrst100RdcrShnBlkTall","Elegant","100","Frosted","18-415","Reducer","Shiny Black","false","assembly_unpublished_or_unsellable","CP18-415ShnBlkTall","CP18-415ShnBlkTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-tall-black-shiny-cap"
"GBElgFrst100RdcrBrwnLthr","Elegant","100","Frosted","18-415","Reducer","Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415BrwnLthr","CP18-415BrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-brown-faux-leather-cap"
"GBElgFrst100RdcrLBrwnLthr","Elegant","100","Frosted","18-415","Reducer","Light Brown Leather","false","assembly_unpublished_or_unsellable","CP18-415LBrwnLthr","CP18-415LBrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBElg60AnSpLvn","Elegant","60","Clear","18-415","Vintage Bulb Sprayer","Lavender","false","media_or_configuration_invalid","AnSp18-415Lvn","AnSp18-415Lvn","","","false","https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBElgFrst100RdcrShnSl","Elegant","100","Frosted","18-415","Reducer","Shiny Silver","false","assembly_unpublished_or_unsellable","CP18-415ShnSl","CP18-415ShnSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-shiny-silver-cap"
"GBElg60AnSpPnk","Elegant","60","Clear","18-415","Vintage Bulb Sprayer","Pink","false","media_or_configuration_invalid","CP18-415AnSpPnk","CP18-415AnSpPnk","","","false","https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap"
"GBElgFrst100RdcrMtSlTall","Elegant","100","Frosted","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSlTall","CP18-415MtSlTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap"
