graceSku,itemName,field,convex,master_v83
GB-CYL-CLR-9ML-ROL-SLDT-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",heightWithCap,118 ±2 mm,88 ±2 mm
GB-CYL-CLR-9ML-ROL-SLDT-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",heightWithoutCap,106 ±2 mm,76 ±1 mm
ACC-RCB-6X10,6inches x 10inches Recloseable Plastic Bags. 100 pieces per ,category,Packaging,Other
GB-GRC-CLR-55ML-AST-IVSL,"Grace design 55 ml, 1.85oz  clear glass bottle  with Ivory v",capColor,Ivory,Ivory Silver
LB-SLK-CLR-100ML-LPM-COCP-T,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with white",category,Glass Bottle,Lotion Bottle
GB-DVA-CLR-46ML-T-17,Diva 46 ml (1.56 oz) Clear Glass Bottle Tall Cap,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-DVA-CLR-46ML-ASP-IVSL,"Diva design 46 ml, 1.64oz  clear glass bottle  with ivory bu",capColor,Ivory,Ivory Silver
LB-SLK-CLR-100ML-LPM-COCP,"Sleek design 100 ml, 3 1/2oz clear glass bottle with with a ",category,Glass Bottle,Lotion Bottle
GB-EMP-CLR-100ML-RDC-IVLT,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with redu",diameter,46 ±0.5 mm,78 ±1 mm
GB-CYL-BLU-5ML-ROL-SLDT,"Cylinder design 5ml, 1/6oz Blue glass bottle with plastic ro",capColor,Silver with Dots,Silver Dotted
LB-ELG-CLR-60ML-LPM-SSLV,"Elegant design 60 ml, 2oz clear glass bottle with shiny silv",category,Glass Bottle,Lotion Bottle
LB-CYL-FRS-9ML-LPM-GLD,"Cylinder design 9ml,1/3 oz frosted glass bottle with treatme",category,Glass Bottle,Lotion Bottle
GB-ELG-CLR-30ML-SPR-MGLD,"Elegant design 30 ml, clear glass bottle with sprayer and ma",capStyle,Spray,Screw Cap
CMP-CAP-WHT-S-13-415,"White lid or closure for glass bottle, Thread size 13-415",family,Roll-On Cap,Cap/Closure
CMP-CAP-WHT-S-13-415,"White lid or closure for glass bottle, Thread size 13-415",category,Component,Cap/Closure
CMP-CAP-PNK-18-415,Pink Antique or Vintage style bulb sprayer with Gold fitting,family,Sprayer,Cap/Closure
CMP-CAP-PNK-18-415,Pink Antique or Vintage style bulb sprayer with Gold fitting,category,Component,Cap/Closure
