body_id,family,alias,capacity_ml,diameter_mm,body_height_mm,neck_finish,sku_count,glass_colors,applicators,example_skus,complexity,confidence,existing_model,geometry_status,parametric_group
BB-BODY-011,Cylinder,5 ml Cylinder (53 mm body),5,17.0,53.0,13-415,58,2,3,GBCyl5BlkSht; GBCyl5Gl; GBCyl5MtlRollBlkDot,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-012,Elegant,15 ml Elegant (61 mm body),15,,61.0,13-415,57,2,3,GBElg15BlkSht; GBElg15Gl; GBElg15MtlRollBlkDot,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-ELEGANT-13-415
BB-BODY-013,Boston Round,60 ml Boston Round (94 mm body),60,39.0,94.0,20-400,54,3,3,GBBstn2ozBlkCapSht; GBBstn2ozBlkDrpr; GBBstn2ozBlkDrprShnGlTrim,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-014,Boston Round,30 ml Boston Round (78 mm body),30,33.0,78.0,20-400,52,3,3,GBBstn1ozBlkDrp; GBBstn1ozBlkDrpShnGlTrim; GBBstn1ozMtlRollonBlk,EASY,HIGH,NO,PARAMETRIC VARIANT,PARAM-BOSTONROUND-20-400-33
BB-BODY-015,Empire,50 ml Empire (88 mm body),50,,88.0,18-415,47,1,6,GBEmp50AnSpBlk; GBEmp50AnSpGl; GBEmp50AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-EMPIRE-18-415
BB-BODY-016,Empire,100 ml Empire (107 mm body),100,,107.0,18-415,44,1,5,GBEmp100AnSpBlk; GBEmp100AnSpGl; GBEmp100AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-EMPIRE-18-415
BB-BODY-017,Sleek,100 ml Sleek (149 mm body),100,,149.0,18-415,44,1,5,GBSlk100AnSpBlk; GBSlk100AnSpGl; GBSlk100AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-SLEEK-18-415
BB-BODY-018,Cylinder,100 ml Cylinder (154 mm body),100,35.0,154.0,18-415,43,1,5,GBCyl100AnSpBlk; GBCyl100AnSpGl; GBCyl100AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-019,Cylinder,50 ml Cylinder (117 mm body),50,32.0,117.0,18-415,43,1,5,GBCyl50AnSpBlk; GBCyl50AnSpGl; GBCyl50AnSpIvyGl,EASY,HIGH,NO,PARAMETRIC VARIANT,PARAM-CYLINDER-18-415-32
BB-BODY-020,Diamond,60 ml Diamond (88 mm body),60,,88.0,18-415,43,1,5,GBDmnd2ozAnSpBlk; GBDmnd2ozAnSpGl; GBDmnd2ozAnSpIvyGl,COMPLEX,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-021,Diva,100 ml Diva (113 mm body),100,64.0,113.0,18-415,43,1,5,GBDiva100AnSpBlk; GBDiva100AnSpGl; GBDiva100AnSpIvyGl,MODERATE,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-022,Grace,55 ml Grace (113 mm body),55,,113.0,18-415,43,1,5,GBGrce55AnSpBlk; GBGrce55AnSpGl; GBGrce55AnSpIvyGl,MODERATE,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-023,Sleek,50 ml Sleek (139 mm body),50,,139.0,18-415,36,1,4,GBSlk50AnSpBlk; GBSlk50AnSpGl; GBSlk50AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-SLEEK-18-415
BB-BODY-024,Slim,100 ml Slim (154 mm body),100,37.0,154.0,18-415,36,1,4,GBSlm100AnSpBlk; GBSlm100AnSpGl; GBSlm100AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-025,Slim,50 ml Slim (121 mm body),50,31.0,121.0,18-415,36,1,4,GBSlm50AnSpBlk; GBSlm50AnSpGl; GBSlm50AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-026,Diva,30 ml Diva (81 mm body),30,43.0,81.0,18-415,34,1,4,GBDiva30AnSpBlk; GBDiva30AnSpGl; GBDiva30AnSpIvyGl,MODERATE,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-027,Circle,15 ml Circle (60 mm body),15,50.0,60.0,13-415,30,1,3,GBCrcl15BlkSht; GBCrcl15Gl; GBCrcl15MtlRollBlkDot,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-028,Flair,15 ml Flair (56 mm body),15,,56.0,13-415,30,1,3,GBFlair15BlkSht; GBFlair15Gl; GBFlair15MtlRollBlkDot,MODERATE,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-029,Rectangle,10 ml Rectangle (101 mm body),10,,101.0,13-415,30,1,3,GBTallRect10BlkSht; GBTallRect10Gl; GBTallRect10MtlRollBlkDot,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-RECTANGLE-13-415
BB-BODY-030,Rectangle,10 ml Rectangle (50 mm body),10,,50.0,13-415,30,1,3,GBRect10BlkSht; GBRect10Gl; GBRect10MtlRollBlkDot,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-RECTANGLE-13-415
BB-BODY-031,Sleek,30 ml Sleek (98 mm body),30,,98.0,18-415,30,1,4,GBSlk30AnSpBlk; GBSlk30AnSpGl; GBSlk30AnSpIvyGl,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-SLEEK-18-415
BB-BODY-032,Sleek,5 ml Sleek (45 mm body),5,,45.0,13-415,30,1,3,GBSleek5BlkSht; GBSleek5Gl; GBSleek5MtlRollBlkDot,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-SLEEK-13-415
BB-BODY-033,Sleek,8 ml Sleek (66 mm body),8,,66.0,13-415,30,1,3,GBSleek8BlkSht; GBSleek8Gl; GBSleek8MtlRollBlkDot,MODERATE,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-SLEEK-13-415
BB-BODY-034,Slim,30 ml Slim (87 mm body),30,30.0,87.0,18-415,30,1,4,GBSlm30AnSpBlk; GBSlm30AnSpGl; GBSlm30AnSpIvyGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-035,Royal,13 ml Royal (56 mm body),13,,56.0,13-415,29,1,3,GBRoyal13BlkSht; GBRoyal13Gl; GBRoyal13MtlRollBlkDot,EASY,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-036,Square,15 ml Square (52 mm body),15,,52.0,13-415,29,1,3,GBSqr15BlkSht; GBSqr15Gl; GBSqr15MtlRollBlkDot,MODERATE,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-037,Boston Round,15 ml Boston Round (68 mm body),15,25.0,68.0,18-400,15,3,1,GBBstn15BlkCapSht; GBBstnAmb15mlBlkCapSht; GBBstnAmb15mlBlkDropper,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-038,Circle,50 ml Circle (87 mm body),50,72.0,87.0,18-415,14,2,1,LBCrcl50LtnClOvrCap; LBCrcl50LtnCu; LBCrcl50LtnMtGl,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-039,Vial,4 ml Vial (45 mm body),4,15.0,45.0,13-425,12,1,1,GBV1DrmBlackCapSht; GBV1DrmBlkDropper; GBV1DrmWhtCapSht,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-040,Atomizer,10 ml Atomizer (82 mm body),10,23.0,82.0,17mm,11,5,1,GBAtom10Blk; GBAtom10BlkDot; GBAtom10Blu,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-041,Elegant,30 ml Elegant,30,,,15-415,10,2,1,GBElg30SpryBlk; GBElg30SpryMattGl; GBElg30SpryMattSl,MODERATE,LOW,NO,PARAMETRIC CANDIDATE,CAND-ELEGANT-15-415
BB-BODY-042,Sleek,30 ml Sleek (98 mm body),30,28.0,98.0,18-415,8,1,1,LBSlk30LtnClOvrCap; LBSlk30LtnCu; LBSlk30LtnMtGl,MODERATE,HIGH,NO,PARAMETRIC VARIANT,PARAM-SLEEK-18-415-28
BB-BODY-043,Sleek,50 ml Sleek (139 mm body),50,28.0,139.0,18-415,8,1,1,LBSlk50LtnClOvrCap; LBSlk50LtnCu; LBSlk50LtnMtGl,MODERATE,HIGH,NO,PARAMETRIC VARIANT,PARAM-SLEEK-18-415-28
