websiteSku,graceSku,convexFamily,convexThread,sourceGroup,retired,productUrl
AnSpTsl18-415Lvn__RETIRED__CMP-SPR-LVSLWH-18-415-02__kd73dndn4vw7d48aytw1z1wg8581ttje,CMP-SPR-LVSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-lavender-Tassel
AnSpTsl18-415MtS,CMP-SPR-MSLV-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver-Tassel
AnSpTsl18-415MtS__RETIRED__CMP-SPR-MTSLWH-18-415-02__kd72by78z0kx33zbp20bghqpy181vpff,CMP-SPR-MTSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-matte-silver-Tassel
AnSpTsl18-415Pnk,CMP-SPR-PNK-18-415,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink-Tassel
AnSpTsl18-415Pnk__RETIRED__CMP-SPR-GDPKSLWH-18-415-02__kd78ngb55khwmvp657kxeqe5q581vne9,CMP-SPR-GDPKSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink-Tassel
AnSpTsl18-415Red,CMP-SPR-RED-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red-Tassel
AnSpTsl18-415Red__RETIRED__CMP-SPR-RDSLWH-18-415-02__kd7daxyma8tbeqe97z9ppwm8f981vjq3,CMP-SPR-RDSLWH-18-415-02,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-red-Tassel
AnSpTsl18-415Wht,CMP-SPR-WHT-18-415-02,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white-Tassel
AnSpTsl18-415Wht__RETIRED__CMP-SPR-SLWH-18-415-04__kd7e6328a279960jy22fjm5fz181t3bh,CMP-SPR-SLWH-18-415-04,Sprayer,18-415,Vintage bulb with tassel,True,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-white-Tassel
CP18-415AnSpPnk,CMP-CAP-PNK-18-415,Sprayer,18-415,Vintage bulb or alias for review,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-pink
CP18-415AnSpTslGl,CMP-SPR-GLD-18415-TSL,Sprayer,18-415,Vintage bulb with tassel,False,https://www.bestbottles.com/product/Vintage-antique-bulb-sprayer-gold-Tassel
Spry18-415Cu,CMP-SPR-MTCP-18-415-03,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-copper-color-18-415
Spry18-415MtGl,CMP-SPR-MTGD-18-415-05,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-matte-gold-color-18-415
Spry18-415MtSl,CMP-SPR-MTSL-18-415-06,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-matte-silver-color-18-415
Spry18-415ShnBlk,CMP-SPR-SHBK-18-415-06,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-shiny-black-color-18-415
Spry18-415ShnGl,CMP-SPR-SHGD-18-415-05,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-shiny-gold-color-18-415
Spry18-415ShnSl,CMP-SPR-SHSL-18-415-06,Sprayer,18-415,Fine-mist sprayer,False,https://www.bestbottles.com/product/spray-top-shiny-silver-color-18-415
