environment,family,sku,body,capacity,neck,glass,fitment,finish,visible,candidate,component,issue,sellable,stock,kit_completeness,kit_slots,kit_conflicts
live,Cylinder,GBCyl5RollCuMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Matte Copper,True,True,CPRoll13-415Cu,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCylAmb9RollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Plastic Roller Ball,Black Dotted,True,True,CpRoll17-415BlkDot,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBCyl100AnSpBlk,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer,Black,True,True,AnSp18-415Blk,,True,In Stock,full,body | diptube | sprayer,[]
live,Cylinder,GBCyl5RollGlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Matte Gold,True,True,CPRoll13-415GlMt,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBCyl100AnSpTslBlk,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer with Tassel,Black,True,True,AnSpTsl18-415Blk,,True,In Stock,full,diptube | body | sprayer,[]
live,Cylinder,GBCyl5RollSlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Plastic Roller Ball,Matte Silver,True,True,CPRoll13-415SlMt,,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCylBlu9RollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Plastic Roller Ball,Black Dotted,True,True,CpRoll17-415BlkDot,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBCylFrst9RollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Frosted,Plastic Roller Ball,Black Dotted,True,True,CpRoll17-415BlkDot,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBCyl9RollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Plastic Roller Ball,Black with Dots,False,True,CpRoll17-415BlkDot,media_unavailable,True,In Stock,,,[]
live,Cylinder,GBCylSwrl9RollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Swirl,Plastic Roller Ball,Black Dotted,True,True,CpRoll17-415BlkDot,,True,In Stock,full,body | roller | cap,[]
live,Cylinder,GBTallCyl9RollBlkDot,cylinder-9ml|13-415|Glass Bottle,9,13-415,Clear,Plastic Roller Ball,Black with Dots,False,True,CPRoll13-415BlackDot,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBTallCylFrst9RollBlkDot,cylinder-9ml|13-415|Glass Bottle,9,13-415,Frosted,Plastic Roller Ball,Black with Dots,False,True,CPRoll13-415BlackDot,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Matte Silver,True,True,CpRoll17-415MattSl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9MtlRollSlDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Silver with Dots,True,True,CpRoll17-415SlDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9MtlRollPnkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Pink with Dots,True,True,CpRoll17-415PnkDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollGlSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Gold,False,True,CPRoll13-415GlSh,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollMattGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Matte Gold,True,True,CpRoll17-415MattGl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollSlSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Silver,False,True,CPRoll13-415SlSh,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollShnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Shiny Gold,True,True,CpRoll17-415ShnGl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollBlkSh,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Black,False,True,CPRoll13-415BlkSh,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollShnSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Shiny Silver,True,True,CpRoll17-415ShnSl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollGlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Gold,False,True,CPRoll13-415GlMt,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollMattCu,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Matte Copper,True,True,CpRoll17-415Cu,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollPinkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Pink with Dots,False,True,CPRoll13-415PinkDot,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollShBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Shiny Black,True,True,CpRoll17-415ShnBlk,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollSlDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Silver with Dots,False,True,CPRoll13-415SlDot,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCyl9MtlRollWht,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,White,True,True,CpRoll17-415White,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5RollCuMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Copper,False,True,CPRoll13-415Cu,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCylAmb9MtlRollWht,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,White,True,True,CpRoll17-415White,,True,In Stock,full,roller | body | cap,[]
