sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"LBCrcl50LtnCu","LB-CIR-CLR-50ML-LPM-CPR","Circle","50","Clear","18-415","Lotion Pump","Copper","true","full","body | diptube | pump","","pending_exact_source_and_render_review"
"GBCrcl50RdcrShnBlkTall","GB-CIR-CLR-50ML-RDC-SBLK-T","Circle","50","Clear","18-415","Reducer","Shiny Black","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrclFrst50LtnMtGl","LB-CIR-FRS-50ML-LPM-MGLD","Circle","50","Frosted","18-415","Lotion Pump","Matte Gold","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl50RdcrShnBlk","GB-CIR-CLR-50ML-RDC-SBLK","Circle","50","Clear","18-415","Reducer","Shiny Black","false","full","body | cap","","pending_exact_source_and_render_review"
"LBCrclFrst50LtnShnGl","LB-CIR-FRS-50ML-LPM-SGLD","Circle","50","Frosted","18-415","Lotion Pump","Shiny Gold","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl50RdcrBrwnLthr","GB-CIR-CLR-50ML-RDC-BRLT","Circle","50","Clear","18-415","Reducer","Brown Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrclFrst50LtnShnBlk","LB-CIR-FRS-50ML-LPM-SBLK","Circle","50","Frosted","18-415","Lotion Pump","Shiny Black","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl50RdcrLBrwnLthr","GB-CIR-CLR-50ML-RDC-LBLT","Circle","50","Clear","18-415","Reducer","Light Brown Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrclFrst50LtnMtSl","LB-CIR-FRS-50ML-LPM-MSLV","Circle","50","Frosted","18-415","Lotion Pump","Matte Silver","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl50RdcrMtSlTall","GB-CIR-CLR-50ML-RDC-MSLV-T","Circle","50","Clear","18-415","Reducer","Matte Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrclFrst50LtnShnSl","LB-CIR-FRS-50ML-LPM-SSLV","Circle","50","Frosted","18-415","Lotion Pump","Shiny Silver","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
