sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCrclFrst50SpryCu","GB-CIR-FRS-50ML-SPR-CPR","Circle","50","Frosted","18-415","Perfume Spray Pump","Copper","true","full","body | diptube | sprayer | overcap","","pending_exact_source_and_render_review"
"GBCrcl50DrpGl","GB-CIR-CLR-50ML-DRP-GLD","Circle","50","Clear","18-415","Dropper","Gold","true","full","body | pipette","","pending_exact_source_and_render_review"
"GBCrclFrst50DrpSl","GB-CIR-FRS-50ML-DRP-SLV","Circle","50","Frosted","18-415","Dropper","Silver","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl15Gl","GB-CIR-CLR-15ML-GLD-T","Circle","15","Clear","13-415","","Gold","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst50DrpGl","GB-CIR-FRS-50ML-DRP-SGLD","Circle","50","Frosted","18-415","Dropper","Shiny Gold","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrcl15Sl","GB-CIR-CLR-15ML-SLV-T","Circle","15","Clear","13-415","","Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15WhtSht","GB-CIR-WHT-15ML-WHT-S","Circle","15","Clear","13-415","","White","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl15BlkSht","GB-CIR-CLR-15ML-BLK-S","Circle","15","Clear","13-415","","Black","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100SpryCu","GB-CIR-CLR-100ML-SPR-CPR","Circle","100","Clear","18-415","Perfume Spray Pump","Copper","true","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrclFrst100SpryCu","GB-CIR-FRS-100ML-SPR-CPR","Circle","100","Frosted","18-415","Perfume Spray Pump","Copper","true","full","body | sprayer | diptube","","pending_exact_source_and_render_review"
"GBCrcl30GlCap","GB-CIR-CLR-30ML-GLD-T","Circle","30","Clear","15-415","","Gold","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl30SlCap","GB-CIR-CLR-30ML-SLV-T","Circle","30","Clear","15-415","","Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100SpryMtGl","GB-CIR-CLR-100ML-SPR-MGLD","Circle","100","Clear","18-415","Perfume Spray Pump","Matte Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl50RdcrBlkLthr","GB-CIR-CLR-50ML-RDC-BKLT","Circle","50","Clear","18-415","Reducer","Black Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100SpryShnGl","GB-CIR-CLR-100ML-SPR-SGLD","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrclFrst50RdcrBlkLthr","GB-CIR-FRS-50ML-RDC-BLK","Circle","50","Frosted","18-415","Reducer","Black","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl100SpryShnBlk","GB-CIR-CLR-100ML-SPR-SBLK","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Black","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100SpryMtSl","GB-CIR-CLR-100ML-SPR-MSLV","Circle","100","Clear","18-415","Perfume Spray Pump","Matte Silver","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100SpryShnSl","GB-CIR-CLR-100ML-SPR-SSLV","Circle","100","Clear","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
