sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"GBCrcl100AnSpWht","Circle","100","Clear","18-415","Vintage Bulb Sprayer","White","true","","AnSp18-415Wht","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpPnk","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Pink","true","","CP18-415AnSpPnk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap"
"GBCrcl100AnSpTslGl","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Gold","true","","CP18-415AnSpTslGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-gold-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrcl100AnSpTslIvyGl","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Ivory Gold","true","","AnSpTsl18-415IvyGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrcl100AnSpTslLvn","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Lavender","true","","AnSpTsl18-415Lvn","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl100AnSpTslPnk","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Pink","false","media_or_configuration_invalid","AnSpTsl18-415Pnk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar"
"GBCrcl100AnSpTslIvySl","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Ivory Silver","false","media_or_configuration_invalid","AnSpTsl18-415IvySl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl100AnSpTslRed","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Red","false","media_or_configuration_invalid","AnSpTsl18-415Red","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl100AnSpTslWht","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","White","false","media_or_configuration_invalid","AnSpTsl18-415Wht","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl15RollBlkDot","Circle","15","Clear","13-415","Plastic Roller Ball","Black Dotted","true","","CPRoll13-415BlackDot","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots"
