sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
GBCylAmb9SpryShSl,9,17-415,Amber,Fine Mist Sprayer,Shiny Silver,True,True,,Spry17-415ShnSl,missing_dip_tube,,False,not deployed
GBCylAmb9SpryTur,9,17-415,Amber,Fine Mist Sprayer,Turquoise,True,True,,Spry17-415Tur,missing_dip_tube,,False,not deployed
GBCylAmb9SpryRd,9,17-415,Amber,Fine Mist Sprayer,Red,True,True,,Spry17-415Red,missing_dip_tube,,False,not deployed
GBCyl5MtlRollBlkDot,5,13-415,Clear,Metal Roller Ball,Black with Dots,False,False,assembly_stock_unavailable,CPRoll13-415BlackDot,,,True,not deployed
GBCylBlu5MtlRollBlkDot,5,13-415,Cobalt Blue,Metal Roller Ball,Black with Dots,True,True,,CPRoll13-415BlackDot,,,False,not deployed
GBCyl100AnSpLvn,100,18-415,Clear,Vintage Bulb Sprayer,Lavender,True,True,,AnSp18-415Lvn,,,False,not deployed
GBCylBlu9SpryTur,9,17-415,Cobalt Blue,Fine Mist Sprayer,Turquoise,True,True,,Spry17-415Tur,missing_dip_tube,,False,not deployed
GBCyl100AnSpPnk,100,18-415,Clear,Vintage Bulb Sprayer,Pink,True,True,,CP18-415AnSpPnk,,,False,not deployed
GBCylBlu9SpryMattSl,9,17-415,Cobalt Blue,Fine Mist Sprayer,Matte Silver,True,True,,Spry17-415MattSl,missing_dip_tube,,False,not deployed
GBCyl100AnSpMtSl,100,18-415,Clear,Vintage Bulb Sprayer,Matte Silver,True,True,,AnSp18-415MtSl,,,False,not deployed
GBCylBlu9MtlRollMattSl,9,17-415,Cobalt Blue,Metal Roller Ball,Matte Silver,True,True,,CpRoll17-415MattSl,,,False,not deployed
GBCylBlu9SpryGl,9,17-415,Cobalt Blue,Fine Mist Sprayer,Gold,True,True,,Spry17-415Gl,missing_dip_tube,,False,not deployed
GBCyl100AnSpIvySl,100,18-415,Clear,Vintage Bulb Sprayer,Ivory Silver,True,True,,AnSp18-415IvySl,,,False,not deployed
GBCyl9MtlRollBlkDot,9,17-415,Clear,Metal Roller Ball,Black with Dots,True,True,,CpRoll17-415BlkDot,,,False,not deployed
GBCylBlu9MtlRollSlDot,9,17-415,Cobalt Blue,Metal Roller Ball,Silver Dotted,True,True,,CpRoll17-415SlDot,,,False,not deployed
GBCylBlu9SpryShSl,9,17-415,Cobalt Blue,Fine Mist Sprayer,Shiny Silver,True,True,,Spry17-415ShnSl,missing_dip_tube,,False,not deployed
GBCyl100AnSpGl,100,18-415,Clear,Vintage Bulb Sprayer,Gold,True,True,,AnSp18-415Gl,,,False,not deployed
GBCylAmb9MtlRollBlkDot,9,17-415,Amber,Metal Roller Ball,Black Dotted,False,False,assembly_stock_unavailable,CpRoll17-415BlkDot,,,True,not deployed
GBCylBlu9MtlRollPnkDot,9,17-415,Cobalt Blue,Metal Roller Ball,Pink Dotted,True,True,,CpRoll17-415PnkDot,,,False,not deployed
GBCylBlu9SpryRd,9,17-415,Cobalt Blue,Fine Mist Sprayer,Red,True,True,,Spry17-415Red,missing_dip_tube,,False,not deployed
GBCyl100AnSpIvyGl,100,18-415,Clear,Vintage Bulb Sprayer,Ivory Gold,True,True,,AnSp18-415IvyGl,,,False,not deployed
GBCylBlu9MtlRollMattGl,9,17-415,Cobalt Blue,Metal Roller Ball,Matte Gold,True,True,,CpRoll17-415MattGl,,,False,not deployed
GBCylFrst9SpryGl,9,17-415,Frosted,Fine Mist Sprayer,Gold,True,True,,Spry17-415Gl,missing_dip_tube,,False,not deployed
GBCyl100AnSpWht,100,18-415,Clear,Vintage Bulb Sprayer,White,True,True,,AnSp18-415Wht,,,False,not deployed
GBCylBlu9MtlRollBlkDot,9,17-415,Cobalt Blue,Metal Roller Ball,Black Dotted,True,True,,CpRoll17-415BlkDot,,,False,not deployed
GBCylBlu9MtlRollShnGl,9,17-415,Cobalt Blue,Metal Roller Ball,Shiny Gold,True,True,,CpRoll17-415ShnGl,,,False,not deployed
GBCylFrst9SpryMattSl,9,17-415,Frosted,Fine Mist Sprayer,Matte Silver,True,True,,Spry17-415MattSl,missing_dip_tube,,False,not deployed
GBCyl100AnSpRed,100,18-415,Clear,Vintage Bulb Sprayer,Red,True,True,,AnSp18-415Red,,,False,not deployed
