grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
GBHeartFrst4KeyGld,,4.0,46.0,53.0,,32.0,12.0,https_www_bestbottles_com_product_Frosted_glass_small_heart_shaped_bottle_with_gold_key_chain.html
GBHeartFrst4TslRed,,4.0,46.0,53.0,,32.0,12.0,https_www_bestbottles_com_product_Frosted_glass_small_heart_shaped_bottle_with_red_tassel.html
FunnelMetalSl,,0.0,,28.0,25.0,,,https_www_bestbottles_com_product_Funnel_Small_Metal_Silver.html
FunnelMetalGl,,0.0,,28.0,25.0,,,https_www_bestbottles_com_product_Funnel_small_metal_Gold_color.html
GB1ozGenieBl,,32.0,77.0,105.0,42.0,,,https_www_bestbottles_com_product_Genie_style_Blue_glass_jar_cylindrical_1oz_glass_stopper.html
GB1ozGenieCl,,32.0,77.0,105.0,42.0,,,https_www_bestbottles_com_product_Genie_style_clear_glass_cylindrical_1oz_glass_stopper.html
BoxECreamMatteRctMed,,0.0,150.0,,,70.0,79.0,https_www_bestbottles_com_product_Gift_Box_Cream_butter_balm_color_3_1x2_75x5_9.html
BoxECreamMatteCube,,0.0,102.0,,,89.0,101.0,https_www_bestbottles_com_product_Gift_Box_Cream_butter_balm_color_4x3_5x4.html
BoxWhite101020,,0.0,51.0,,,25.0,25.0,https_www_bestbottles_com_product_Gift_Box_White_1x1x2.html
BoxBWndwBlueFthr,,0.0,89.0,,,38.0,38.0,https_www_bestbottles_com_product_Gift_box_B_small_window_Blue_feather.html
BoxBWndwGreenBrush,,0.0,89.0,,,38.0,38.0,https_www_bestbottles_com_product_Gift_box_B_small_window_Green_brush.html
BoxBWndwOrngShade,,0.0,89.0,,,38.0,38.0,https_www_bestbottles_com_product_Gift_box_B_small_window_Orange_Shade.html
BoxBWndwEarthBrush,,0.0,89.0,,,38.0,38.0,https_www_bestbottles_com_product_Gift_box_B_small_window_earth_brush.html
BoxCWndwBlueDots,,0.0,89.0,,,57.0,19.0,https_www_bestbottles_com_product_Gift_box_C_small_window_Blue_dots.html
BoxCWndwGrnShd,,0.0,89.0,,,57.0,19.0,https_www_bestbottles_com_product_Gift_box_C_small_window_Green_Shade.html
BoxCWndwGreenPrint,,0.0,89.0,,,57.0,19.0,https_www_bestbottles_com_product_Gift_box_C_small_window_Green_print.html
BoxCWndwSlvrSunFlwr,,0.0,89.0,,,57.0,19.0,https_www_bestbottles_com_product_Gift_box_C_small_window_Silver_Sunflower.html
BoxCWndwWhite,,0.0,89.0,,,57.0,19.0,https_www_bestbottles_com_product_Gift_box_C_small_window_white_color.html
GBSpry4mlClWh,,4.0,49.0,67.0,14.0,,,https_www_bestbottles_com_product_Glass_vial_sprayer_white_promotional_sample_size_4ml.html
GBEternalFlameGreen,,35.0,44.0,80.0,,63.0,,https_www_bestbottles_com_product_Green_glass_perfume_Bottle_container_eternal_flame_glass_stopper.html
LB1ozGl,,30.0,,,,,,https_www_bestbottles_com_product_Lotion_bottle_Gold_treatment_pump_cylinder_1oz.html
LB3mlClear,,3.0,,,,,,https_www_bestbottles_com_product_Lotion_bottle_Plastic_Clear_promotional_sample_size_3ml.html
LB1ozSl,,30.0,,,,,,https_www_bestbottles_com_product_Lotion_bottle_container_Silver_treatment_pump_cylinder_1oz.html
GB3TPlGl,,3.0,42.0,53.0,18.0,18.0,,https_www_bestbottles_com_product_Octagonal_style_3_ml_glass_bottle_shiny_gold_cap_red_bead.html
GB6TPlGl,,6.0,48.0,59.0,22.0,,,https_www_bestbottles_com_product_Octagonal_style_6_ml_glass_bottle_shiny_gold_cap_red_bead.html
OBagBlack4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Bag_pouch_Black_4x6.html
OBagIvory4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Ivory_4x6.html
OBagPink4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pink_4x6.html
OBagBlack5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Black_5x8.html
OBagGold4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Gold_4x6.html
OBagGold5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Gold_5x8.html
OBagChGreen5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Green_4x6.html
OBagChGreen5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Green_5x8.html
OBagLavender5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Lavender_5x8.html
OBagLightPurple5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Light_Purple_5x8.html
OBagRed4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Red_4x6.html
OBagRed5x8,,0.0,,197.0,,145.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Pouch_Red_5x8.html
OBagPurple4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Purple_4x6.html
OBagSilver4x6,,0.0,,144.0,,122.0,,https_www_bestbottles_com_product_Organza_Sheer_Gift_Bag_Silver_4x6.html
GBSQSTBlue,,9.0,47.0,64.0,,24.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Rectangular_Blue_glass_stopper.html
GBSQSTClear,,9.0,47.0,64.0,,24.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Rectangular_Clear_glass_stopper.html
GBSQSTGREEN,,9.0,47.0,64.0,,24.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Rectangular_Green_glass_stopper.html
