body_key,samples,cross_section,height_bare_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,major_axis_mm,body_ratio,dims_confidence,dims_source,notes
cylinder-227ml-nofinish,1,round,156.0,159.0,51.0,,,51.0,3.06,low,live bestbottles.com,single page
cylinder-25ml-18-415,7,round,83.0,108.0,32.0,,,32.0,2.59,high,live bestbottles.com,
cylinder-28ml-16mm,4,round,81.0,100.0,31.0,,,31.0,2.61,high,live bestbottles.com,
cylinder-30ml-18-415,2,round,50.8,70.7,42.0,,,42.0,1.21,high,convex export (no live data),
cylinder-3ml-12mm,2,round,37.0,54.0,14.0,,,14.0,2.64,high,live bestbottles.com,
cylinder-454ml-nofinish,1,round,195.0,194.0,62.0,,,62.0,3.15,low,live bestbottles.com,single page
cylinder-4ml-12mm,2,round,49.0,67.0,14.0,,,14.0,3.5,high,live bestbottles.com,
cylinder-50ml-16mm,4,round,98.0,116.0,37.0,,,37.0,2.65,high,live bestbottles.com,
cylinder-50ml-18-415,43,round,117.0,142.0,32.0,,,32.0,3.66,high,live bestbottles.com,
cylinder-5ml-13-415,60,round,53.0,65.0,17.0,,,17.0,3.12,high,live bestbottles.com,
