websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCyl5SpryCuMatt,GB-CYL-CLR-5ML-SPR-MCPR,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Copper,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-copper-spray,False
GBCyl5SpryGlMatt,GB-CYL-CLR-5ML-SPR-MGLD,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Gold,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-gold-spray,False
GBCyl5SpryGlSh,GB-CYL-CLR-5ML-SPR-SGLD,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Gold,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-gold-spray,False
GBCyl5SprySlMatt,GB-CYL-CLR-5ML-SPR-MSLV,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Silver,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-silver-spray,False
GBCyl5SprySlSh,GB-CYL-CLR-5ML-SPR-SSLV,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Silver,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-shiny-silver-spray,False
GBCyl5WhtSht,GB-CYL-CLR-5ML-WHT-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short Ribbed White,,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-white-cap,False
GBCyl5WhtSht__RETIRED__GBCyl5WhtSht__kd7227hkh2tsrhwwz9mg4hqjw985cf47,GBCyl5WhtSht,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Clear,Short White,Short Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-short-white-cap,True
GBCylBlu5BlkShSht,GB-CYL-BLU-5ML-CAP-SBLK,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Shiny Black,,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-shiny-black-cap,False
GBCylBlu5BlkSht,GB-CYL-CBL-5ML-S-01,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Ribbed Black,,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-black-cap,False
GBCylBlu5CuSht,GB-CYL-BLU-5ML-MCPR-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Matte Copper,,,False
