graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
GB-SLM-CLR-100ML-SPR-CPR,GBSlm100SpryCu,BB-GB-100-0318,Slim,100,154 ±2 mm,180 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-SPR-MGLD,GBSlm100SpryMtGl,BB-GB-100-0319,Slim,100,154 ±2 mm,180 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-SPR-MSLV,GBSlm100SpryMtSl,BB-GB-100-0320,Slim,100,154 ±2 mm,180 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-SPR-SBLK,GBSlm100SpryShnBlk,BB-GB-100-0321,Slim,100,154 ±2 mm,180 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-100ML-SPR-SGLD,GBSlm100SpryShnGl,BB-GB-100-0322,Slim,100,154 ±2 mm,145 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-100ML-SPR-SSLV,GBSlm100SpryShnSl,BB-GB-100-0323,Slim,100,154 ±2 mm,180 ±2 mm,37 ±0.5 mm,37,37,95.83,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-30ML-ASP-BLK,GBSlm30AnSpBlk,BB-GB-030-0127,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-GLD,GBSlm30AnSpGl,BB-GB-030-0128,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-IVGD,GBSlm30AnSpIvyGl,BB-GB-030-0129,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-IVSL,GBSlm30AnSpIvySl,BB-GB-000-0021,Slim,30,87,107.2,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-LVN,GBSlm30AnSpLvn,BB-GB-030-0130,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-MSLV,GBSlm30AnSpMtSl,BB-GB-000-0022,Slim,30,87,107.2,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-PNK,GBSlm30AnSpPnk,BB-GB-030-0131,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-RED,GBSlm30AnSpRed,BB-GB-030-0132,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-ASP-WHT,GBSlm30AnSpWht,BB-GB-030-0133,Slim,30,87 ±1 mm,115 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-DRP-CPR,GBSlm30DrpCu,BB-GB-030-0134,Slim,30,87 ±1 mm,109 ±2 mm,30 ±0.5 mm,30,30,80,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-DRP-GLD,GBSlm30DrpGl,BB-GB-030-0135,Slim,30,87 ±1 mm,109 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-DRP-SLV,GBSlm30DrpSl,BB-GB-030-0136,Slim,30,87 ±1 mm,109 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-BKLT,GBSlm30RdcrBlkLthr,BB-GB-030-0137,Slim,30,87 ±1 mm,101 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-30ML-RDC-BRLT,GBSlm30RdcrBrwnLthr,BB-GB-030-0138,Slim,30,87 ±1 mm,101 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
