family,capacityMl,bodyHeightMm,widthAxisMm,depthAxisMm,axisSemantics,secondAxisStatus,variantCount,colors,applicators,productGroupSlugs,conflictFlagCounts,rawHeightValues,rawDiameterValues
Cylinder,100,154,35,35.0,round,equal-to-diameter(circular),45,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,cylinder-100ml-clear-18-415-antiquespray|cylinder-100ml-clear-18-415-antiquespray-tassel|cylinder-100ml-clear-18-415-lotionpump|cylinder-100ml-clear-18-415-perfumespray|cylinder-100ml-clear-18-415-reducer,,154 ±2 mm×45,35 ±0.5 mm×45
Cylinder,118,116,41,41.0,round,equal-to-diameter(circular),1,Clear,N/A,cylinder-118ml-clear,,116 ±2 mm×1,41 ±0.5 mm×1
Cylinder,227,156,51,51.0,round,equal-to-diameter(circular),1,Clear,N/A,cylinder-227ml-clear,,156 ±2 mm×1,51 ±1 mm×1
Cylinder,454,195,62,62.0,round,equal-to-diameter(circular),1,Clear,N/A,cylinder-454ml-clear,,195 ±2 mm×1,62 ±1 mm×1
Decorative,3,42,18,,mixed,per-shape — review,1,Clear,,tola-3ml-clear-14.3mm,,42 ±0.5 mm×1,18 ±0.5 mm×1
Decorative,4,46,32,,mixed,per-shape — review,2,Frosted,Glass Stopper,heart-4ml-frosted-8mm-keychain|heart-4ml-frosted-8mm-tassel,convex_widthaxis_corrected_by_site(was=14.0)×2,46 ±0.5 mm×2,14 ±0.5 mm×2
Decorative,5,66,26,,mixed,per-shape — review,1,Clear,,marble-5ml-clear-17.52mm,convex_widthaxis_corrected_by_site(was=18.0)×1,66 ±1 mm×1,18 ±0.5 mm×1
Decorative,6,48,22,,mixed,per-shape — review,1,Clear,,tola-6ml-clear-14.3mm,,48 ±0.5 mm×1,22 ±0.5 mm×1
Decorative,10,80,28,,mixed,per-shape — review,1,Clear,,marble-10ml-clear-17.52mm,convex_widthaxis_corrected_by_site(was=23.0)×1,80 ±1 mm×1,23 ±0.5 mm×1
Decorative,32,77,42,,mixed,per-shape — review,2,Clear|Cobalt Blue,,genie-32ml-clear-Ground|genie-32ml-cobalt-blue-Ground,,77 ±1 mm×2,42 ±0.5 mm×2
Decorative,35,43,63,,mixed,per-shape — review,1,Cobalt Blue,,eternal-flame-35ml-cobalt-blue-Ground,d:inch_conversion_artifact×1;convex_widthaxis_corrected_by_site(was=25.4)×1,43 ±0.5 mm×1,25.4×1
Decorative,35,44,63,,mixed,per-shape — review,2,Clear|Green,,eternal-flame-35ml-clear-Ground|eternal-flame-35ml-green-Ground,d:inch_conversion_artifact×2;convex_widthaxis_corrected_by_site(was=25.4)×2,44 ±0.5 mm×2,25.4×2
Decorative,355,52,92,,mixed,per-shape — review,1,Clear,Glass Stopper,pear-355ml-clear-Ground-glassapplicator,,52.2×1,92 ±1 mm×1
Diamond,60,88,39,,flat,UNKNOWN — not recorded in any system,45,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer|Vintage Bulb Sprayer with Tassel,diamond-60ml-clear-18-415-antiquespray|diamond-60ml-clear-18-415-antiquespray-tassel|diamond-60ml-clear-18-415-lotionpump|diamond-60ml-clear-18-415-perfumespray|diamond-60ml-clear-18-415-reducer,,88 ±1 mm×45,39 ±0.5 mm×38|39×7
Diva,30,81,43,43.0,round,equal-to-diameter(circular),36,Clear,Lotion Pump|Perfume Spray Pump|Reducer|Vintage Bulb Sprayer,diva-30ml-clear-18-415-antiquespray|diva-30ml-clear-18-415-lotionpump|diva-30ml-clear-18-415-perfumespray|diva-30ml-clear-18-415-reducer,,81 ±1 mm×33|81×3,43 ±0.5 mm×36
Diva,46,88,49,49.0,round,equal-to-diameter(circular),2,Clear|Frosted,Vintage Bulb Sprayer,diva-46ml-clear-18-415|diva-46ml-frosted-18-415-antiquespray,d:dup_lineage_stale_value×2,88 ±1 mm×2,60 ±0.5 mm×2
